Abstract_ID,Title,Year,Journal,Keywords.author,Abstract,Review,Eco.Quantify,Abiotic,Human,Include?
1574,Post-restoration grassland management overrides the effects of restoration methods in propagule-rich landscapes,2022,ECOLOGICAL APPLICATIONS,abandonment; community reassembly; competition; establishment limitation; functional diversity; grassland management; grassland restoration; grazing; mowing; old field,"Grassland restoration is gaining momentum worldwide to tackle the loss of biodiversity and associated ecosystem services. Restoration methods and their effects on ecological community reassembly have been extensively studied across various grassland types, while the importance of post-restoration management has so far received less attention. Grassland management is an important surrogate for natural disturbances, with which most ancient grasslands have coevolved. Thus, without the reintroduction of management-related disturbance, restoration targets are unlikely to be achieved in restored grasslands. In this study, we aimed to explore how 20 yr of management by mowing once a year or light cattle grazing affects restoration success in Palearctic meadow-steppe grasslands restored by either sowing native grasses (sown sites), applying Medicago sativa as a nurse plant (Medicago sites), or allowing spontaneous succession (spontaneous sites). We found that, following mowing, sown sites maintained long-lasting establishment limitation, while Medicago sites experienced a delay in succession. These limitations resulted in low total and target species richness, low functional redundancy, and distinct species and functional composition compared to reference data from ancient grasslands. Spontaneous sites that were mowed reached a more advanced successional stage, although they did not reach reference levels regarding most vegetation descriptors. Sown and Medicago sites that were grazed had higher total and target species richness than those that were mowed, and showed restoration success similar to that of spontaneous sites, on which grazing had only moderate further positive effects. Grazed sites, irrespective of the restoration method, were uniformly species rich, functionally diverse, and functionally redundant, and thus became important biodiverse habitats with considerable resilience. We conclude that an optimally chosen post-restoration management may have an impact on long-term community reassembly comparable to the choice of restoration method. Restoration planners may, therefore, need to put more emphasis on future management than on the initial restoration method. However, our findings also imply that if local constraints, such as potentially high invasive propagule pressure, necessitate the application of restoration methods that could also hinder the establishment of target species, the long-term recovery of the grassland can still be ensured by wisely chosen post-restoration management.",NO,YES,NO,NO,yes
819,How old are you? Genet age estimates in a clonal animal,2016,MOLECULAR ECOLOGY,clonal; longevity; microsatellite; population dynamics; somatic mutations,"Foundation species such as redwoods, seagrasses and corals are often long-lived and clonal. Genets may consist of hundreds of members (ramets) and originated hundreds to thousands of years ago. As climate change and other stressors exert selection pressure on species, the demography of populations changes. Yet, because size does not indicate age in clonal organisms, demographic models are missing data necessary to predict the resilience of many foundation species. Here, we correlate somatic mutations with genet age of corals and provide the first, preliminary estimates of genet age in a colonial animal. We observed somatic mutations at five microsatellite loci in rangewide samples of the endangered coral, Acropora palmata (n = 3352). Colonies harboured 342 unique mutations in 147 genets. Genet age ranged from 30 to 838 years assuming a mutation rate of 1.195(-04) per locus per year based on colony growth rates and 236 to 6500 years assuming a mutation rate of 1.542(-05) per locus per year based on sea level changes to habitat availability. Long-lived A. palmata genets imply a large capacity to tolerate past environmental change, and yet recent mass mortality events in A. palmata suggest that capacity is now being frequently exceeded.",NO,YES,NO,NO,yes
1755,"Modeling long-term changes in tundra carbon balance following wildfire, climate change, and potential nutrient addition",2017,ECOLOGICAL APPLICATIONS,climate warming; CO2 fertilization; fire resilience; nitrogen deposition; nutrient limitation,"To investigate the underlying mechanisms that control long-term recovery of tundra carbon (C) and nutrients after fire, we employed the Multiple Element Limitation (MEL) model to simulate 200-yr post-fire changes in the biogeochemistry of three sites along a burn severity gradient in response to increases in air temperature, CO2 concentration, nitrogen (N) deposition, and phosphorus (P) weathering rates. The simulations were conducted for-severely burned, moderately burned, and unburned arctic tundra. Our simulations indicated that recovery of C balance after fire was mainly determined by the internal redistribution of nutrients among ecosystem components (controlled by air temperature), rather than the supply of nutrients from external sources (e. g., nitrogen deposition and fixation, phosphorus weathering). Increases in air temperature and atmospheric CO2 concentration resulted in (1) a net transfer of nutrient from soil organic matter to vegetation and (2) higher C : nutrient ratios in vegetation and soil organic matter. These changes led to gains in vegetation biomass C but net losses in soil organic C stocks. Under a warming climate, nutrients lost in wildfire were difficult to recover because the warming-induced acceleration in nutrient cycles caused further net nutrient loss from the system through leaching. In both burned and unburned tundra, the warming-caused acceleration in nutrient cycles and increases in ecosystem C stocks were eventually constrained by increases in soil C : nutrient ratios, which increased microbial retention of plant-available nutrients in the soil. Accelerated nutrient turnover, loss of C, and increasing soil temperatures will likely result in vegetation changes, which further regulate the long-term biogeochemical succession. Our analysis should help in the assessment of tundra C budgets and of the recovery of biogeochemical function following fire, which is in turn necessary for the maintenance of wildlife habitat and tundra vegetation.",NO,YES,NO,NO,yes
728,Structural and defensive roles of angiosperm leaf venation network reticulation across an Andes-Amazon elevation gradient,2018,JOURNAL OF ECOLOGY,damage resilience; damage resistance; leaf performance; loop; redundancy; reticulation; trait space; tropical forest; venation network,"1. The network of minor veins of angiosperm leaves may include loops (reticulation). Variation in network architecture has been hypothesized to have hydraulic and also structural and defensive functions. 2. We measured venation network trait space in eight dimensions for 136 biomass-dominant angiosperm tree species along a 3,300 m elevation gradient in southeastern Peru. We then examined the relative importance of multiple ecological and evolutionary predictors of reticulation. 3. Variation in minor venation network reticulation was constrained to three axes. These axes described reconnecting vs. branching veins, elongated vs. compact areoles compact vs. elongated and low vs. high-density veins. Variation in the first two axes was predicted by traits related to mechanical strength and secondary compounds, and in the third axis by site temperature. 4. Synthesis. Defensive and structural factors primarily explain variation in multiple axes of reticulation, with a smaller role for climate-linked factors. These results suggest that venation network reticulation may be determined more by species interactions than by hydraulic functions.",NO,YES,NO,NO,yes
1525,Forest restoration and biodiversity enhancement across China: Regional case insights into ecosystem function recovery and conservation outcomes,2025,ECOLOGICAL INDICATORS,Ecological risk assessment; Pesticide contamination; Nutrient enrichment; Freshwater biodiversity; Ecosystem functions,"Freshwater ecosystems are increasingly subjected to multiple anthropogenic stressors, notably pesticide contamination and nutrient enrichment, which jointly threaten biodiversity and impair key ecosystem functions. This study conducts a comprehensive ecological risk assessment to evaluate the interactive effects of these stressors on freshwater biodiversity and ecological processes across diverse aquatic systems in China. Focusing on streams, rivers, and lentic environments in agriculturally intensive regions such as the Yangtze River Basin, the North China Plain, and parts of Yunnan Province, we integrate water quality analyses, biotic surveys, and experimental mesocosm data collected between 1995-2023. Taxonomic groups assessed include aquatic macroinvertebrates, fish, periphyton, and microbial communities. Our findings reveal that while moderate nutrient inputs initially stimulate primary production, combined exposure to high nutrient loads and pesticide mixtures leads to trophic imbalances, reduced species richness, and altered food web structures. Synergistic interactions between herbicides and excess nitrogen/phosphorus were particularly detrimental to invertebrate diversity and periphyton biomass, with significant downstream effects on ecosystem respiration and nutrient cycling. Multivariate risk models indicate that phosphorus availability and pesticide persistence are key predictors of biodiversity loss and functional degradation. Temporal analysis suggests that ecosystems with long-term exposure (>10 years) display reduced resilience and slower recovery even after pollutant reduction. Additionally, biodiversity impacts varied by region, with upland streams showing greater sensitivity compared to lowland rivers. This study underscores the urgent need for integrated watershed management approaches that limit agrochemical inputs, monitor ecological indicators, and prioritize restoration in biodiversity hotspots. Policymakers should enforce region-specific water quality thresholds, promote sustainable agriculture, and fund longitudinal studies to track ecological recovery and prevent irreversible ecosystem shifts.",NO,YES,NO,NO,yes
993,Disrupting the effects of synergies between stressors: improved water quality dampens the effects of future CO2 on a marine habitat,2013,JOURNAL OF APPLIED ECOLOGY,carbon dioxide; climate change; habitat loss; nutrients; ocean acidification; pollutants; turf-forming algae,"Synergies among stressors drive unanticipated changes to alternative states, yet little has been done to assess whether alleviating one or more contributing stressors may disrupt these interactions. It would be particularly useful to understand whether the synergistic effects of global and local stressors could be alleviated, leading to slower change or faster recovery, if conditions under the control of local management alone were managed (i.e. nutrient pollution). We utilized field-based mesocosms to manipulate CO2 (i.e. forecasted global concentrations) and nutrients (i.e. local pollution) to test the hypothesis that, where synergies exist, reducing one contributing stressor would limit the effect of the other. In testing this hypothesis, we considered the response of turfing algae, which can displace kelp forests on urbanized coastlines. Initial manipulations of CO2 and nutrient enrichment produced an anticipated synergistic effect on the biomass of turfing algae. Following exposure of algal turfs to a combination of enriched nutrients and CO2, a subsequent reduction in nutrients was able to substantially slow further increases in turf growth. Despite this substantial effect, the historical legacy of previous nutrient enrichment was evident as greater turf was maintained relative to ambient conditions (i.e. ambient CO2 and nutrients). Such legacies of past stressors may be stubborn (e.g. persist as intergenerational change) where the alternative state (i.e. turf algae) has substantial resilience to restorative actions. Synthesis and applications. As stressors accumulate across global to local scales, some combine to produce synergistic effects which cause changes of disproportionate ecological magnitude. While strong synergies attract heavy scrutiny, there remains substantial merit in assessing whether their influence can be ameliorated by managing a contributing stressor. Of note, we show that by reducing a locally determined stressor (nutrients), its synergistic effects with a globally determined stressor (CO2 enrichment) on a key taxon (turf algae) may be substantially reduced. These results suggest that in the face of changing climate (e.g. ocean acidification), the management of local stressors (e.g. water pollution) may have a greater contribution in determining the dominant state than current thinking allows.",NO,YES,NO,NO,yes
1770,Three-and-a-half million years of Tibetan Plateau vegetation dynamics in response to climate change,2025,NATURE ECOLOGY & EVOLUTION,,"The Tibetan Plateau supports the largest alpine meadow ecosystem globally. It is considered extremely vulnerable to global warming. Knowledge of past vegetation dynamics under similarly warm climates could shed insights into where the tipping point for regime shifts may lie. We report a continuous multicentennial-resolved pollen record for the last 3.5 Myr from a lake sediment core retrieved from the Zoige Basin (similar to 3,350-3,450 m above sea level) on the eastern Tibetan Plateau. It reveals a detailed picture of the vegetation dynamics across several timescales using the approaches of biomization, numerical analysis, statistical modelling and vegetation simulations. These lines of evidence show that vegetation underwent transformation from stable forest in the mid-late Pliocene Period (3.5-2.73 million years ago (Ma)) to codominance of forest and steppe in the early Quaternary Period (2.73-1.54 Ma) and to a meadow-dominated ecosystem after similar to 1.54 Ma, along with glacial-interglacial and millennial-scale grassland-forest shifts. These vegetational changes were largely controlled by temperature change. A global warming of similar to 2-3 degrees C is the most important threshold for the forest expansion and meadow resilience loss on the Tibetan Plateau. By analogy to the past, we suggest that, without major reductions in greenhouse gas emissions, the current Tibetan Plateau meadow is at risk of major transformation.",NO,YES,NO,NO,yes
544,Arctic and boreal paleofire records reveal drivers of fire activity and departures from Holocene variability,2020,ECOLOGY,boreal forest; climate change; fire; Holocene; lake-sediment charcoal; paleoecology; paleofire,"Boreal forest and tundra biomes are key components of the Earth system because the mobilization of large carbon stocks and changes in energy balance could act as positive feedbacks to ongoing climate change. In Alaska, wildfire is a primary driver of ecosystem structure and function, and a key mechanism coupling high-latitude ecosystems to global climate. Paleoecological records reveal sensitivity of fire regimes to climatic and vegetation change over centennial-millennial time scales, highlighting increased burning concurrent with warming or elevated landscape flammability. To quantify spatiotemporal patterns in fire-regime variability, we synthesized 27 published sediment-charcoal records from four Alaskan ecoregions, and compared patterns to paleoclimate and paleovegetation records. Biomass burning and fire frequency increased significantly in boreal forest ecoregions with the expansion of black spruce, ca. 6,000-4,000 years before present (yr BP). Biomass burning also increased during warm periods, particularly in the Yukon Flats ecoregion from ca. 1,000 to 500 yr BP. Increases in biomass burning concurrent with constant fire return intervals suggest increases in average fire severity (i.e., more biomass burning per fire) during warm periods. Results also indicate increases in biomass burning over the last century across much of Alaska that exceed Holocene maxima, providing important context for ongoing change. Our analysis documents the sensitivity of fire activity to broad-scale environmental change, including climate warming and biome-scale shifts in vegetation. The lack of widespread, prolonged fire synchrony suggests regional heterogeneity limited simultaneous fire-regime change across our study areas during the Holocene. This finding implies broad-scale resilience of the boreal forest to extensive fire activity, but does not preclude novel responses to 21st-century changes. If projected increases in fire activity over the 21st century are realized, they would be unprecedented in the context of the last 8,000 yr or more.",YES,YES,NO,NO,no
549,Temporal trade-off between gymnosperm resistance and resilience increases forest sensitivity to extreme drought,2020,NATURE ECOLOGY & EVOLUTION,,"A study of global tree ring data records over the last century reveals a temporal trade-off between resistance and resilience to drought for gymnosperms. The frequency and intensity of droughts have increased over the decades, leading to increased forest decline. The response of forest to drought can be evaluated by both its sensitivity to drought (resistance) and its post-drought recovery rate (resilience). However, it remains uncertain how drought resistance and resilience of forests change over time under climate change. We assessed the spatiotemporal dynamics of forest resistance and resilience to drought over the past century (1901-2015) with global tree ring data records from 2,935 sites, in conjunction with plant trait data. We found that gymnosperms and angiosperms showed different spatial patterns of drought resistance and resilience, driven by variations in eco-physiological traits. Resistance and resilience also varied with drought seasonal timing. Surprisingly, we found that the trade-off between resistance and resilience for gymnosperms, previously reported only spatially, also occurred at the temporal scale. In particular, drought resilience markedly increased, but resistance decreased, for gymnosperms between 1950-1969 and 1990-2009, indicating that previous model simulations assuming invariant resistance may have underestimated the impacts of drought on gymnosperm-dominated forests under future climate change.",NO,YES,NO,NO,yes
443,Low resilience at the early stages of recovery of the semi-arid Chaco forest-Evidence from a field experiment,2021,JOURNAL OF ECOLOGY,Argentina; Chaco; land‐ use change; passive restoration; resilience; seasonally dry forest,"Resilience-the capacity of an ecosystem to recover from disturbance-is a popular concept but quantitative empirical studies are still uncommon. This lack of empirical evidence is especially true for semi-arid ecosystems in the face of the combined and often confounding impacts of land use and climate changes. We designed a methodology to disentangle vegetation responses to land-use exclusion and weather variability, and piloted it at the southern extreme of the Gran Chaco forest, the most extensive seasonally dry forest in South America. We established 16 pairs of neighbouring fenced and unfenced plots in four ecosystem types resulting from different long-term land-use regimes under the same climate and on highly similar soil parental material. From lower to higher land-use intensity, related with logging and livestock grazing and trampling, these types were: primary forest (no land use in the last 50 years), secondary forest, closed species-rich shrubland and open shrubland. In each plot we monitored plant species composition during the first 5 years following land-use exclusion, and evaluated the resilience as the rate of change of vegetation towards the primary forest, considered as the reference ecosystem. We found that during the first 5 years of exclusion and despite the high rainfall, only grass cover in the secondary forest showed positive resilience (recovery towards the reference ecosystem). The rest of the variables in the other ecosystem types showed either no significant change (null resilience) or even transitioned away from the reference state (negative resilience). Synthesis. The lack of detectable recovery after 5 years of exclusion suggests that (a) long-term land use, even at lower intensities, has affected the sources of resilience of this ecosystem; (b) rainy periods do not necessarily speed up recovery as suggested in the literature; and (c) study designs should incorporate the variation of the reference ecosystem in order to differentiate the effect of land use from other factors in a context of climate change. Although still confined to the early post-disturbance stages, our findings suggest that recovery of these systems may be slower and more complicated than predicted in the literature on the basis of space-for-time substitutions.",NO,YES,NO,NO,yes
2039,Microstructure provides insights into evolutionary design and resilience of Coscinodiscus sp frustule,2016,PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA,biomaterials; diatoms; nanoarchitecture; lightweight nanostructure; organic-inorganic composite,"We conducted in situ three-point bending experiments on beams with roughly square cross-sections, which we fabricated from the frustule of Coscinodiscus sp. We observe failure by brittle fracture at an average stress of 1.1 GPa. Analysis of crack propagation and shell morphology reveals a differentiation in the function of the frustule layers with the basal layer pores, which deflect crack propagation. We calculated the relative density of the frustule to be similar to 30% and show that at this density the frustule has the highest strength-to-density ratio of 1,702 kN.m/kg, a significant departure from all reported biologic materials. We also performed nanoindentation on both the single basal layer of the frustule as well as the girdle band and show that these components display similar mechanical properties that also agree well with bending tests. Transmission electron microscopy analysis reveals that the frustule is made almost entirely of amorphous silica with a nanocrystalline proximal layer. No flaws are observed within the frustule material down to 2 nm. Finite element simulations of the three-point bending experiments show that the basal layer carries most of the applied load whereas stresses within the cribrum and areolae layer are an order of magnitude lower. These results demonstrate the natural development of architecture in live organisms to simultaneously achieve light weight, strength, and exceptional structural integrity and may provide insight into evolutionary design.",NO,NO,NO,NO,no
1987,Soil microbial legacies influence freeze-thaw responses of soil,2023,FUNCTIONAL ECOLOGY,freeze-thaw cycles; legacies; microbial biomass; microbial communities; respiration; soil nitrogen; temperate forest soils; winter climate change,"Warmer winters with less snowfall are increasing the frequency of soil freeze-thaw cycles across temperate regions. Soil microbial responses to freeze-thaw cycles vary and some of this variation may be explained by microbial conditioning to prior winter conditions, yet such linkages remain largely unexplored. We investigated how differences in temperature history influenced microbial community composition and activity in response to freeze-thaw cycles.We collected soil microbial communities that developed under colder (high elevation) and warmer (low elevation) temperature regimes in spruce-fir forests, then added each of these soil microbial communities to a sterile bulk-soil in a laboratory microcosm experiment. The inoculated high-elevation cold and low-elevation warm microcosms were subjected to diurnal freeze-thaw cycles or constant above-freezing temperature for 9 days. Then, all microcosms were subjected to a 7-day above-freezing recovery period.Overall, we found that the high-elevation cold community had, relative to the low-elevation warm community, a smaller reduction in microbial respiration (CO2 flux) during freeze-thaw cycles. Further, the high-elevation cold community, on average, experienced lower freeze-thaw-induced bacterial mortality than the warm community and may have partly acclimated to freeze-thaw cycles via increased lipid membrane fluidity. Respiration of both microbial communities quickly recovered following the end of the freeze-thaw treatment period and there were no changes in soil extractable carbon or nitrogen.Our results provide evidence that past soil temperature conditions may influence the responses of soil microbial communities to freeze-thaw cycles. The microbial community that developed under a colder temperature regime was more tolerant of freeze-thaw cycles than the community that developed under a warmer temperature regime, although both communities displayed some level of resilience. Taken together, our data suggest that microbial communities conditioned to less extreme winter soil temperatures may be most vulnerable to rapid changes in freeze-thaw regimes as winters warm, but they also may be able to quickly recover if mortality is low.",NO,YES,NO,NO,yes
1662,Evaluating early-warning indicators of critical transitions in natural aquatic ecosystems,2016,PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA,competition; intraguild predation; trophic cascade; time series; resilience indicators,"Ecosystems can show sudden and persistent changes in state despite only incremental changes in drivers. Such critical transitions are difficult to predict, because the state of the system often shows little change before the transition. Early-warning indicators (EWIs) are hypothesized to signal the loss of system resilience and have been shown to precede critical transitions in theoretical models, paleo-climate time series, and in laboratory as well as whole lake experiments. The generalizability of EWIs for detecting critical transitions in empirical time series of natural aquatic ecosystems remains largely untested, however. Here we assessed four commonly used EWIs on long-term datasets of five freshwater ecosystems that have experienced sudden, persistent transitions and for which the relevant ecological mechanisms and drivers are well understood. These case studies were categorized by three mechanisms that can generate critical transitions between alternative states: competition, trophic cascade, and intraguild predation. Although EWIs could be detected in most of the case studies, agreement among the four indicators was low. In some cases, EWIs were detected considerably ahead of the transition. Nonetheless, our results show that at present, EWIs do not provide reliable and consistent signals of impending critical transitions despite using some of the best routinely monitored freshwater ecosystems. Our analysis strongly suggests that a priori knowledge of the underlying mechanisms driving ecosystem transitions is necessary to identify relevant state variables for successfully monitoring EWIs.",NO,YES,NO,NO,yes
1978,The productive performance of intercropping,2023,PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA,intercropping; productivity; land-use efficiency; transgressive overyielding; food security,"Crop diversification has been put forward as a way to reduce the environmental impact of agriculture without penalizing its productivity. In this context, intercropping, the planned combination of two or more crop species in one field, is a promising practice. On an average, intercropping saves land compared with the component sole crops, but it remains unclear whether intercropping produces a higher yield than the most productive single crop per unit area, i.e., whether intercropping achieves transgressive overyielding. Here, we quantified the performance of intercropping for the production of grain, calories, and protein in a global meta-analysis of several production indices. The results show that intercrops outperform sole crops when the objective is to achieve a diversity of crop products on a given land area. However, when intercropping is evaluated for its ability to produce raw products without concern for diversity, intercrops on average generate a small loss in grain or calorie yield compared with the most productive sole crop (-4%) but achieve similar or higher protein yield, especially with maize/legume combinations grown at moderate N supply. Overall, although intercropping does not achieve transgressive overyielding on average, our results show that intercropping performs well in producing a diverse set of crop products and performs almost similar to the most productive component sole crop to produce raw products, while improving crop resilience, enhancing ecosystem services, and improving nutrient use efficiency. Our study, therefore, confirms the great interest of intercropping for the development of a more sustainable agricultural production, supporting diversified diets.",YES,YES,NO,NO,no
744,Topsoil removal through scarification improves natural regeneration in high-graded Nothofagus old-growth forests,2018,JOURNAL OF APPLIED ECOLOGY,arrested succession; bamboo; Chusquea culeou; forest regeneration; forest restoration; resilience; understorey vegetation,"1. High grading by removing the majority of trees with superior timber quality has led to loss of productivity and biodiversity in forests. Typically, after high grading, little attention is given to tree regeneration. Thus, undesirable understorey vegetation often dominates for a long time, leading to stagnation in forest recovery and so-called arrested succession. In such settings, managing understorey vegetation using topsoil removal through scarification has been proposed as a restoration tool to encourage tree regeneration. 2. We investigated the effectiveness of topsoil removal as a restoration technique in high-graded Nothofagus old-growth forests in the Chilean Andes. In these forests, high grading often leads to understories being dominated by dense thickets of native bamboo, Chusquea culeou. These understorey conditions typically delay succession by preventing tree regeneration. 3. T-tests were used to compare vegetation development in areas with topsoil removal against those without. Nonparametric multiplicative regression was used to investigate which environmental variables were mainly related to regeneration of different plant groups (short- and long-lived, early- and late-seral tree species) and C. culeou abundance in areas with and without topsoil removal. 4. Topsoil removal improved the regeneration of early-seral tree species and constrained C. culeou. In areas without topsoil scarification, higher abundances of C. culeou were reflected in a higher transmitted radiation and litter cover. In these areas, the presence of early-seral tree species was related to higher soil water content and transmitted radiation. However, topsoil removal altered these response patterns for early-seral trees. For instance, the interaction between higher soil water content and more exposed mineral soil was reflected in a higher likelihood of finding early-seral tree seedlings. 5. Synthesis and applications. Topsoil removal was a successful restoration tool for overcoming arrested succession in Nothofagus old-growth forests in the Chilean Andes by encouraging the regeneration of early-seral trees in high-graded forests. Contrasting environmental conditions of pre- and post-topsoil removal allowed insights into the processes and mechanisms responsible for forests with arrested succession and for succession progression. This understanding provides guidance regarding the range of conditions under which topsoil removal can be used as a successful restoration practice.",NO,YES,NO,NO,yes
97,Microbial symbionts buffer hosts from the demographic costs of environmental stochasticity,2024,ECOLOGY LETTERS,environmental variability; Epichloe; life history; long-term data; mutualism; plant-microbe interactions; Poaceae; stochastic demography; symbiosis,"Species' persistence in increasingly variable climates will depend on resilience against the fitness costs of environmental stochasticity. Most organisms host microbiota that shield against stressors. Here, we test the hypothesis that, by limiting exposure to temporally variable stressors, microbial symbionts reduce hosts' demographic variance. We parameterized stochastic population models using data from a 14-year symbiont-removal experiment including seven grass species that host Epichloe fungal endophytes. Results provide novel evidence that symbiotic benefits arise not only through improved mean fitness, but also through dampened inter-annual variance. Hosts with fast life-history traits benefited most from symbiont-mediated demographic buffering. Under current climate conditions, contributions of demographic buffering were modest compared to benefits to mean fitness. However, simulations of increased stochasticity amplified benefits of demographic buffering and made it the more important pathway of host-symbiont mutualism. Microbial-mediated variance buffering is likely an important, yet cryptic, mechanism of resilience in an increasingly variable world.",NO,YES,NO,NO,yes
521,Cyanobacteria dynamics and phytoplankton species richness as a measure of waterbody recovery: Response to phosphorus removal treatment in a tropical eutrophic reservoir,2020,ECOLOGICAL INDICATORS,Phoslock (R); Biodiversity; Shallow urban lakes; Pampulha reservoir; Water management,"External nutrient inputs account for the main cause of eutrophication of aquatic systems and intensification of toxic cyanobacteria blooms. But internal loads from sediments significantly contribute to environmental de-gradation. In-lake treatments may therefore be combined to accelerate the restoration process. A tropical, eu-trophic reservoir with persistent cyanobacteria blooms was subjected to applications of a lanthanum-enriched clay (Phoslock (R)) designed to control internal phosphorus loading. This study aimed to evaluate if the treatment could lead to cyanobacteria reduction and improvement of the phytoplankton community and environmental status. Data were obtained during the application and post-application months, and compared with pre-treat-ment datasets. Significant decrease in phosphorus concentration occurred, but only in the second treatment year. Cyanobacteria responded after five months of applications, reducing biomass with a 4-fold increase in water transparency, but blooms were able to re-establish. However, by the end of the second year and until the in-terruption of the treatment, cyanobacteria dominance was significantly reduced and replaced by a more diverse phytoplankton community rarely seen in this environment. At this time, the number of species belonging to groups other than cyanobacteria increased, characterizing more than 80% of the total of species. While pointing to the system resilience and the treatment limitations, this study also indicated that under a long-term control of phosphorus load, lakes could be restored and their aquatic communities recover. Decrease of cyanobacteria biomass and increase in non-cyanobacteria biodiversity were key factors to evaluate the treatment success. The study reinforces the importance of species and communities as sentinels of a healthier ecosystem.",NO,YES,NO,NO,yes
1866,Spatial-temporal differentiation and influencing factors of ecosystem health in Three-River-Source national Park,2025,ECOLOGICAL INDICATORS,Ecosystem health; Spatial-temporal differentiation; Influencing factors; GeoDetector; Three-River-Source National Park,"Ensuring and maintaining ecosystem health is the goal of ecological protection and environmental governance. Exploring the spatial-temporal differentiation and influencing factors of ecosystem health in national parks is a crucial foundation for promoting the construction of ecological civilization and the high-quality development of national parks. Taking Three-River-Source National Park (TNP) as a case study, this paper adopts multi-source data to quantitatively evaluate the spatial and temporal variations of ecosystem health within TNP from 2000 to 2020 by constructing the measurement model of Vigor-Service-Resilience. It reveals the independent and interactive effects of its influencing factors. We found that: (1) Despite the overall positive trend observed in TNP's ecosystem health, the trend remains relatively weak, and the health level predominantly dominated by the fragile level during the study period. (2) The spatial variation in ecosystem health within TNP was pronounced, with a noticeable increase moving from the northwest to the southeast area. It also showed significant highhigh and low-low clustering effects in the eastern and northwestern regions. (3) Among all the indicators assessed, ecosystem vigor was the indicator that contributed the most to the growth of the ecosystem health index. (4) Variations in ecosystem health of TNP were mainly shaped by land use intensity and precipitation, and interactions between natural environmental factors and human activity factors enhanced the explanation of these changes. This study emphasizes the importance of ecosystem health in national parks and provides practical management recommendations for sustainable ecosystem development in national parks.",NO,YES,NO,NO,yes
1249,Increasing instability of a rocky intertidal meta-ecosystem,2022,PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA,disturbance; resistance; resilience; increased variance; slowing recovery,"Climate change threatens to destabilize ecological communities, potentially moving them from persistently occupied basins of attraction to different states. Increasing variation in key ecological processes can signal impending state shifts in ecosystems. In a rocky intertidal meta-ecosystem consisting of three distinct regions spread across 260 km of the Oregon coast, we show that annually cleared sites are characterized by communities that exhibit signs of increasing destabilization (loss of resilience) over the past decade despite persistent community states. In all cases, recovery rates slowed and became more variable over time. The conditions underlying these shifts appear to be external to the system, with thermal disruptions (e.g., marine heat waves, El Nino-Southern Oscillation) and shifts in ocean currents (e.g., upwelling) being the likely proximate drivers. Although this iconic ecosystem has long appeared resistant to stress, the evidence suggests that subtle destabilization has occurred over at least the last decade.",NO,YES,NO,NO,yes
1231,Resilience to large-scale disturbance in coral and fish assemblages on the great barrier reef,2004,Ecology,Coral assemblage; Disturbance; Great Barrier Reef; Large scale; Recovery; Reef fish assemblage; Resilience,"Recognition of the complex spatial and temporal variability of abundance and diversity found in many populations has led to a greater focus on the roles of heterogeneity, stochasticity, and disturbance in the structure and persistence of communities. This focus is directly relevant to coral reef communities that are characterized by very high species diversity in a spatially heterogeneous environment, display stochastic variability in community structure at small spatial and temporal scales, and are subject to major disturbances. We monitored coral and fish assemblages over 14 years on fixed sites spread over 80 km of the southern Great Barrier Reef (GBR), Australia, and found evidence of large-scale resilience and predictable recovery of these assemblages. Sometime between November 1987 and October 1989, live coral cover on the shallow northeast flanks of some reefs in the southern GBR decreased from >80% to <10%, probably as a result of storm damage. We compared the fish and benthic communities present in these areas prior to the disturbance (1983-1984) with those present in 1992 and the subsequent changes through to 1998. Hard coral cover increased slowly from 1992 to 1994, then accelerated to be indistinguishable from pre-impact levels by 1998. The response of the coral assemblages was largely due to the predominance of tabulate Acropora species and their characteristics of rapid growth and competitive dominance. Patterns of species richness of the fish families Acanthuridae, Chaetodontidae, Scaridae, and Pomacentridae mirrored that of hard coral, except the Pomacentridae had not recovered to pre-impact levels by 1998. Of the 26 fish species analyzed for changes in abundance, 88% decreased after the disturbance, then subsequently increased, with all but two recovering to pre-impact levels by 1998. Although processes such as settlement and immigration are ultimately responsible for replenishment of local populations, our data suggested that habitat plays a strong role in modifying fish assemblages. Thus, both coral and fish assemblages demonstrated resilience to large-scale natural disturbance and predictability in the structure of the assemblages, with most taxa approaching the asymptote of abundance and species richness that existed prior to the disturbance.",NO,YES,NO,NO,yes
